,0
0,148.955810546875
1,121.52104949951172
2,94.42862701416016
3,73.60104370117188
4,71.6571044921875
5,70.89840698242188
6,73.703125
7,70.20943450927734
8,67.18946075439453
9,59.23231887817383
10,53.78588104248047
11,70.61851501464844
12,38.35333251953125
13,69.01046752929688
14,68.23717498779297
15,60.813663482666016
16,58.795440673828125
17,66.39163970947266
18,65.2005386352539
19,69.62454986572266
20,57.85008239746094
21,53.13822555541992
22,44.06334686279297
23,41.26225280761719
24,63.17840576171875
25,36.78977966308594
26,59.0207405090332
27,57.32466506958008
28,49.920867919921875
29,47.794097900390625
30,53.75126266479492
31,51.860103607177734
32,58.88736343383789
33,44.884864807128906
34,41.016571044921875
35,34.1061897277832
36,31.466033935546875
37,49.2957763671875
38,32.70713424682617
39,42.081993103027344
40,39.97209930419922
41,34.5561408996582
42,32.75965881347656
43,36.601985931396484
44,34.91584014892578
45,44.503231048583984
46,30.95292854309082
47,28.99778175354004
48,25.169038772583008
49,23.475900650024414
50,37.27495574951172
51,28.636287689208984
52,30.734697341918945
53,29.799528121948242
54,26.198577880859375
55,25.023813247680664
56,28.988426208496094
57,28.05156135559082
58,37.72140884399414
59,26.006271362304688
60,24.8376407623291
61,22.094528198242188
62,20.98141860961914
63,33.516475677490234
64,27.28951644897461
65,27.94033432006836
66,27.270254135131836
67,24.260421752929688
68,23.149179458618164
69,27.01659393310547
70,26.165054321289062
71,35.33777618408203
72,24.564870834350586
73,23.454256057739258
74,20.995025634765625
75,20.11813735961914
76,31.947078704833984
77,26.60968780517578
78,26.576751708984375
79,25.95855140686035
80,23.19146728515625
81,22.027896881103516
82,25.730443954467773
83,24.884681701660156
84,33.75938415527344
85,23.564132690429688
86,22.4561767578125
87,20.234172821044922
88,19.45807647705078
89,30.712614059448242
90,25.74921226501465
91,25.468551635742188
92,24.963050842285156
93,22.28577423095703
94,21.171194076538086
95,24.813631057739258
96,23.986671447753906
97,32.53147888183594
98,22.775409698486328
99,21.674362182617188
100,19.571088790893555
101,18.913549423217773
102,29.671489715576172
103,25.011262893676758
104,24.60594367980957
105,24.186744689941406
106,21.579994201660156
107,20.461267471313477
108,23.994482040405273
109,23.156633377075195
110,31.379566192626953
111,22.00621795654297
112,20.962139129638672
113,19.025348663330078
114,18.429821014404297
115,28.64377784729004
116,24.346662521362305
117,23.64730453491211
118,23.256534576416016
119,20.83464813232422
120,19.65663719177246
121,23.05046272277832
122,22.235645294189453
123,30.037355422973633
124,21.136613845825195
125,20.164104461669922
126,18.386995315551758
127,17.861846923828125
128,27.388341903686523
129,23.35492515563965
130,22.545251846313477
131,22.21380043029785
132,19.949636459350586
133,18.7239933013916
134,21.942283630371094
135,21.140575408935547
136,28.32638931274414
137,20.056068420410156
138,19.185407638549805
139,17.60065460205078
140,17.184194564819336
141,25.790189743041992
142,22.098798751831055
143,21.107603073120117
144,20.81577491760254
145,18.8013973236084
146,17.502220153808594
147,20.430465698242188
148,19.670312881469727
149,26.010940551757812
150,18.64972686767578
151,17.930604934692383
152,16.616731643676758
153,16.341279983520508
154,23.67279815673828
155,20.405109405517578
156,19.232431411743164
157,19.008455276489258
158,17.313610076904297
159,15.936233520507812
160,18.511577606201172
161,17.806804656982422
162,23.01441764831543
163,16.899547576904297
164,16.382360458374023
165,15.455242156982422
166,15.36702823638916
167,21.11260986328125
168,18.42655372619629
169,17.046005249023438
170,16.933393478393555
171,15.62496280670166
172,14.203433990478516
173,16.447059631347656
174,15.828889846801758
175,19.900630950927734
176,15.178970336914062
177,14.864200592041016
178,14.351743698120117
179,14.431922912597656
180,18.72566032409668
181,16.669919967651367
182,15.16722297668457
183,15.17792797088623
184,14.1646728515625
185,12.82115364074707
186,14.865447044372559
187,14.317490577697754
188,17.65557289123535
189,13.97646713256836
190,13.7910795211792
191,13.54239273071289
192,13.676532745361328
193,17.049095153808594
194,15.397479057312012
195,13.934124946594238
196,13.990081787109375
197,13.112257957458496
198,11.93453598022461
199,13.836214065551758
200,13.353203773498535
201,16.37020492553711
202,13.23993968963623
203,13.14499282836914
204,12.92355728149414
205,12.983148574829102
206,15.876310348510742
207,14.361616134643555
208,13.129261016845703
209,13.169633865356445
210,12.326912879943848
211,11.35370922088623
212,13.088714599609375
213,12.69062614440918
214,15.569351196289062
215,12.73873519897461
216,12.742045402526855
217,12.416711807250977
218,12.373030662536621
219,14.989195823669434
220,13.506120681762695
221,12.554840087890625
222,12.57234001159668
223,11.73362922668457
224,10.952263832092285
225,12.546266555786133
226,12.204483032226562
227,14.97294807434082
228,12.342382431030273
229,12.447019577026367
230,12.014280319213867
231,11.93073844909668
232,14.333603858947754
233,12.866378784179688
234,12.116609573364258
235,12.117127418518066
236,11.275453567504883
237,10.625011444091797
238,12.131057739257812
239,11.811075210571289
240,14.480389595031738
241,11.999293327331543
242,12.192943572998047
243,11.677812576293945
244,11.599435806274414
245,13.823613166809082
246,12.381648063659668
247,11.759249687194824
248,11.746980667114258
249,10.910575866699219
250,10.33303165435791
251,11.776327133178711
252,11.463123321533203
253,14.050570487976074
254,11.691925048828125
255,11.961881637573242
256,11.379720687866211
257,11.313642501831055
258,13.383563995361328
259,11.976502418518066
260,11.443635940551758
261,11.4204740524292
262,10.598296165466309
263,10.065648078918457
264,11.451013565063477
265,11.14130973815918
266,13.635501861572266
267,11.403810501098633
268,11.734750747680664
269,11.11843490600586
270,11.068277359008789
271,12.979490280151367
272,11.61436939239502
273,11.147808074951172
274,11.114006996154785
275,10.313982009887695
276,9.809455871582031
277,11.139856338500977
278,10.836856842041016
279,13.232283592224121
280,11.125954627990723
281,11.507377624511719
282,10.873918533325195
283,10.84703254699707
284,12.592609405517578
285,11.278728485107422
286,10.860424041748047
287,10.815608978271484
288,10.044246673583984
289,9.557150840759277
